author,count
Dr. Musa Saracoglu,2
Fatih Harpci,4
Cendel Tuna,2
Jeannette Okur,1
Betul Aydin,1
Faisal Warsani,1
Noah Weaver,3
Zuleyha B. Ozturk,2
Victor Putnam,1
Bernadette - Daniel Skubik,3
Yusuf Ziya Gurtas,2
Justin Pahl,10
Samina Farooq,1
Mariya Tytarenko,2
Al Curtis,1
Anwar Alam,3
Cagri Sakalar,1
Y. Alp Aslandogan,1
Frank Merchant,2
Kara Potter,1
Thomas Michel,5
Aaliya Khan-Fatmi,1
Beste Nigar,1
Nathan Ruler,5
Sevim Hancioglu,1
Meryem Saygili,1
Bahadir Can Gumussulu,1
Gertrud Mueller Nelson,1
Barbara Koerth,1
Jessica Doroslovac,1
Aysenur Demir,1
Behzad Fatmi,1
Yasemin Bakar,1
Hassan Aslan,1
Eldrian Johnson,1
Richard Shields,2
Amin Uighur,1
Abdulkadir Korucuk,1
Masud Mahmud Bhaila,1
Arif Eseroglu,1
Al Strong,2
Ulan Dakeev,1
Ismail Tavaci,2
Sophia Pandya,4
Suheyla Sarac,1
Hamza Balci,2
James A. Bill,1
Mahmut Kara,1
Ali Bicak,1
Tuncay Caglayan,2
Eric Weinholtz,1
Rumeysa Eren,2
Ferah Armutcu,1
Vagif Kazimli,1
John M. Munsil,1
Aleezeh Usman,1
Mustafa Ulusoy,1
Melih Mert,2
Fatih Guner,1
Dr. Isa Sarac,3
Cheryl Pearson,1
Suzan Mutlu,3
John Young,2
Nihal B. Karaca,2
Necmi Mutlu,1
Salih Uyar,1
Muhammet Mertek,2
Nuh Gedik,3
Cafer Tayyar Yavuz,1
Kamran Mofid,2
Safak Ozturk,1
Mustafa Nutku,2
Mehmet A. Ocak,1
Dr. Selim Aydin,4
Clare Julian Meryem Tuz,1
Ahmet Mir Fazil,1
Erkan Acar,1
Ali Uguz,1
Yunus Emre,2
Arslan Mayda,7
P. Geoffrey Bakken,1
Stephen Pant,1
Belinda Sturgill,1
Adam Asar,1
Fr. Theodore Pulcini,1
Michael David Graskemper,1
Mustafa Akyol,1
Ahmet Tarik,2
Musa Hub,1
Huseyin Simitci,1
Ebubekir Pasazade,1
Sumeyra Dural Cokavci,1
Jennifer Knight-ari,1
Colin Turner,1
Suat Erguvan,1
Adam Nelson,2
Huseyin Faruk Coskun,3
Dr. Sherif Muhammad,1
Mary Reveal,1
Ali Ata,1
Mehmet Orhan,1
Brianna Head,1
Zuleyha Ozturk,1
Richard Nelson,1
Didem Firtina,6
Zain Hussain,1
Aisha Kaplan,1
Ibrahima Sacko,1
Fatma Gunduz,4
Salih Ergun,1
A. Mufazzal,1
Cezmi Aydin,1
Mucteba Muezzinoglu / Nate Emru Kiydal,1
Melissa McPen,4
Berna Berian Baran,1
Musab Korkmaz,1
"Ile, Onyebuchi James",1
Firat Celik,1
Eyup Nazir,1
Ibrahim Bagci,1
Sultan Bashir Mahmood,1
Zhandos Utegulov,1
Mahmut Veziroglu,1
Robert Lentz,1
Hasan Altinbasak,1
M. Louise Row,1
Hayati Tarhan,1
Turan Kayaoglu,1
Begum Yilmaz,1
Halil I. Tas,1
Sule Atahan,1
Christine Mathews,1
Adeel M. Khan,1
Deborah Moldow,1
Dennis Joy,1
Mubina Muftic,2
Al Freeman,2
Tony Mitchell,1
Geffrey Olsen,1
Omur Yilmaz,1
Mirsad Tasmaz,1
Ozgur Yilmaz,2
Suleyman Candaroglu,1
Mark Scheel,1
"Yüksel A. Aslandoğan, PhD",1
"Philip Clayton, PhD",1
"Jon Pahl, PhD",1
"Peter A. Cohen, PhD",1
